topology,seed,k_target,p,k_ws,m,num_nodes,num_edges,avg_degree,avg_clustering,diameter,avg_path_length,converged,convergence_round,final_mean_accuracy,final_std_accuracy
ER,0,2,0.18181818181818182,,,12,7,1.1666666666666667,0.0,inf,inf,True,17,71.30999999999999,4.750912193112673
ER,1,2,0.18181818181818182,,,12,18,3.0,0.33888888888888885,4.0,2.1818181818181817,True,9,70.53166666666667,2.8506982575424495
ER,2,2,0.18181818181818182,,,12,13,2.1666666666666665,0.1111111111111111,6.0,2.606060606060606,True,13,70.39,4.333128200272871
WS,0,2,0.3,2.0,,12,12,2.0,0.0,9.0,3.6363636363636362,True,14,70.8575,3.7127867453796326
WS,1,2,0.3,2.0,,12,12,2.0,0.0,8.0,3.3636363636363638,True,12,70.07666666666667,4.113284035360985
WS,2,2,0.3,2.0,,12,12,2.0,0.0,6.0,2.803030303030303,True,11,70.64666666666666,3.5218894865619452
BA,0,2,,,1.0,12,11,1.8333333333333333,0.0,4.0,2.106060606060606,True,19,70.56166666666665,4.503453921405461
BA,1,2,,,1.0,12,11,1.8333333333333333,0.0,5.0,2.5757575757575757,True,12,70.11,4.3529357909346675
BA,2,2,,,1.0,12,11,1.8333333333333333,0.0,4.0,2.484848484848485,True,14,70.795,3.160528700497223
ER,0,4,0.36363636363636365,,,12,29,4.833333333333333,0.46388888888888885,3.0,1.606060606060606,True,7,70.67833333333333,1.026375770476985
ER,1,4,0.36363636363636365,,,12,22,3.6666666666666665,0.4916666666666667,3.0,1.8484848484848484,True,9,70.77916666666667,3.0587537177019577
ER,2,4,0.36363636363636365,,,12,22,3.6666666666666665,0.20833333333333334,3.0,1.8484848484848484,True,8,70.37083333333334,3.835015120207772
WS,0,4,0.3,4.0,,12,24,4.0,0.375,4.0,1.8181818181818181,True,10,71.16666666666667,3.4362778635546283
WS,1,4,0.3,4.0,,12,24,4.0,0.4444444444444444,3.0,1.8181818181818181,True,9,70.36833333333331,3.142007939023848
WS,2,4,0.3,4.0,,12,24,4.0,0.5,3.0,1.8181818181818181,True,10,70.87083333333334,2.763890549971582
BA,0,4,,,2.0,12,20,3.3333333333333335,0.4170634920634921,3.0,1.9090909090909092,True,10,70.48833333333333,4.417946041117097
BA,1,4,,,2.0,12,20,3.3333333333333335,0.1111111111111111,3.0,1.9090909090909092,True,9,70.54833333333333,4.033808856265861
BA,2,4,,,2.0,12,20,3.3333333333333335,0.6576719576719577,3.0,1.7272727272727273,True,11,70.21,4.206857496992263
ER,0,8,0.7272727272727273,,,12,50,8.333333333333334,0.8040945165945166,2.0,1.2424242424242424,True,6,70.31666666666668,3.6304093739166965
ER,1,8,0.7272727272727273,,,12,47,7.833333333333333,0.6807539682539683,2.0,1.2878787878787878,True,6,71.39083333333333,0.9114133560331189
ER,2,8,0.7272727272727273,,,12,53,8.833333333333334,0.7837962962962962,2.0,1.196969696969697,True,6,71.35583333333334,0.9126742603774656
WS,0,8,0.3,8.0,,12,48,8.0,0.6891534391534392,2.0,1.2727272727272727,True,6,70.09083333333334,1.8732122959119062
WS,1,8,0.3,8.0,,12,48,8.0,0.7789201539201539,2.0,1.2727272727272727,True,6,70.41583333333334,2.960778215079422
WS,2,8,0.3,8.0,,12,48,8.0,0.7111111111111111,2.0,1.2727272727272727,True,6,70.75916666666667,1.3331882733590992
BA,0,8,,,4.0,12,32,5.333333333333333,0.556415343915344,2.0,1.5151515151515151,True,8,71.43666666666667,2.6367035395651817
BA,1,8,,,4.0,12,32,5.333333333333333,0.45562169312169315,3.0,1.5757575757575757,True,8,70.40249999999999,3.3500077736228224
BA,2,8,,,4.0,12,32,5.333333333333333,0.6103835978835979,3.0,1.5454545454545454,True,10,71.36749999999999,4.697820638338589
